"GSM1220074" "GSM1220075" "GSM1220076" "GSM1220083" "GSM1220103" "GSM1220104" "GSM1220105" "GSM1220106" "GSM319718" "GSM319738" "GSM319743" "GSM319745" "GSM319746" "GSM319748" "GSM319809" "GSM319811" "GSM319813"
"ABHD11" 7.710010764888 7.51496381729959 7.72930221930641 8.26807156429706 7.34314773901769 8.70304462438337 7.34481043983377 8.28440328383215 7.6056423145811 7.18466459126213 7.10759122192666 6.97373627679583 7.10912345122494 7.40098057607518 7.47438069521656 7.49975460348427 7.02255274288269
"ABHD2" 7.63453150400639 6.78358174201163 7.82890850306543 7.6639571897472 8.06153459984976 7.53744511606502 6.76333719114143 6.27386743528398 7.30821687918717 7.38853027623824 7.42737780204945 7.37069568169368 7.46461444709904 7.51386659071984 7.20334827495853 7.30547423710044 7.28796121872596
"ABHD3" 8.15732621728822 7.83143761928213 7.84446534854227 6.64949842878204 7.77933365586219 7.47996608565767 8.00085027039218 7.62309114793499 8.42162742569771 6.53118775806071 8.51665968633998 7.61318795674949 7.29935302179781 7.18478668024564 7.87580738743953 8.03138413641983 8.88213121108988
"ABHD4" 7.47020416938571 7.523660275815 7.17106405916183 8.59459916637888 7.69478937335204 7.56643281791272 7.58782157772282 8.1230165656179 7.96408534771462 7.83549321865895 7.46994948449895 7.33634023488023 7.90798760246784 7.31933537946793 7.85209747232038 7.58761135020471 7.2983399097225
"ABHD5" 5.93830393387709 6.07679069887736 6.99206722399497 6.96430436791143 6.77000660299393 5.62002284706991 6.06293939637451 6.1599103285821 6.45794944958222 6.62831563132964 6.4832511285445 7.09067138523652 6.32725997939952 6.21797890493254 6.17010483090712 6.3008436780029 6.24899863149884
"ABHD6" 7.15473986829759 7.07920337254668 7.2410751075627 5.49514429811598 7.66206505832663 6.35660373137298 5.99026111836499 7.04683262518078 6.54820197631646 6.45918540584648 6.50925920216849 6.52361514887523 6.59280738173563 6.45324766361766 6.51711355825774 6.63563317453647 6.52238867368836
"ABHD8" 6.74250209003157 5.54770498447983 6.19798922936093 6.43467424715193 6.1151739499369 5.6894987681774 4.71008145099121 5.45320666242551 5.54310421738618 6.09606266543718 5.3732952802032 6.64086515765305 5.39260321948921 5.66848506929554 5.536458637778 6.05210171908628 5.82237486259041
"ABI1" 8.25531633333763 8.2645193703991 8.30113028788238 7.18795440352174 8.49285718471535 7.91777238740917 8.49300546024183 8.71233863319172 7.96721460434736 8.27462301113088 8.53451655303826 8.20179073099496 8.5847588122993 8.29057488649522 8.17886088478785 8.1130765438579 8.00273691251717
"ABI2" 6.77972980491388 6.89976403502322 7.50687753878295 6.39307525720343 7.6336453845118 8.30906690032625 7.32317472675223 6.94549675600271 7.51887632004501 7.71489432119834 7.83251040783666 7.69790550437091 8.00336155590784 7.51955510723165 7.78913905532867 7.6992845384135 7.63472870558643
"ABI3BP" 6.32346606008547 6.59253210664311 6.56912617912813 5.90283219665207 7.15470678571393 5.34323404786612 6.80325474987036 5.01764939975395 4.2010323874829 6.52899557128605 4.78023764873551 7.01795740855106 5.629591707221 5.87423156246241 6.47380813788178 6.00403758207086 5.45656839512687
"ABL1" 8.31883485864621 9.09456939052629 8.53053576188259 8.73040674894532 8.98880827037508 8.01354473668347 8.83611345512442 8.33078778021762 8.33288658037014 8.63606506532685 8.5541307914293 8.40619998620981 8.03015010583933 8.64345465081561 8.10412200557838 8.45591481211792 8.23768784165779
"ABL2" 7.44383271174853 6.74505522822267 7.49496441740922 6.69089952382973 6.74525599460353 6.19478817383324 5.79441542069733 5.87858987569638 6.15816006204154 6.6723188292351 6.19392001773274 6.62464960190479 6.27779054112357 7.39607768496849 6.45031838572034 6.67476165990052 6.61386452441103
"ABLIM1" 8.49431416910946 9.77956742647131 8.85156985244848 9.41389825106903 8.08882170362962 7.61424878436169 8.68970125025782 10.6825504954921 7.7028726293767 7.34519900838587 7.07722250127458 8.51738674846884 8.47358087802364 7.36957953674906 7.56234130098976 8.67588412894955 8.13734398453562
"ABLIM3" 5.82930044944442 5.44124228471027 7.29997623572554 5.89197012985595 8.23317469323049 6.75860112178518 5.42873967257354 5.06664408739017 7.3410032921981 6.75113299470068 7.14611016304903 6.99231885496741 5.49898954605516 5.18610136795173 7.22936829050592 7.2577592261175 7.31346346684223
"ABR" 8.17852316893217 8.82440297794787 8.28737143496963 8.49055954023329 8.26558568010308 7.83027342179902 8.14223374797576 9.74624060966063 8.5027894213678 8.47214779020758 8.44472524081392 8.4094080426608 8.35251098364623 8.43121177180401 8.45638866104019 8.28949696106397 8.24142194383757
"ABT1" 6.50502942340443 7.2287785124156 7.58280880557479 7.04347278281297 6.70682828746354 6.75730086357554 7.31304106172598 7.46476225112094 7.41230342453909 7.59586309120459 7.40275955328477 7.28302341513002 7.66995708622221 7.33270493875497 7.13926308646953 6.94046059505623 7.30836076788514
"ACAA1" 8.15837156508622 8.14277606962536 8.03361366852738 7.92446225688354 8.96959825613316 7.64384154143265 8.61072756670808 9.39098056815294 8.52913952293873 7.9009165995319 8.63874300438146 7.84288318530875 8.633154904589 8.59865218731466 8.5481578881001 8.87678022259425 8.60556716772375
"ACAA2" 7.63666242706368 7.37494125992976 7.60645421561075 7.87840864061589 7.97917505393133 8.5841616692303 8.42277453861061 8.88685380144587 8.12235944628892 8.15121692841014 8.27138575890812 8.0651018653111 8.06875056443559 8.20501731208097 8.38538061230231 7.94522597974566 9.01532639375481
"ACACA" 8.69719192643615 6.43042297816956 6.26296066784481 7.48508721073292 7.15310030619028 7.49832887558428 7.87760006688761 8.29206125126219 8.28806733967203 8.09931524397528 7.39724364506893 7.83002005020055 7.76358214345699 7.62230706803962 8.20790675112637 8.29463324855695 7.34281170325462
"ACACB" 6.77168556500322 4.9246106532827 5.00644268826136 7.0323507101012 6.4563192619106 6.31927105888961 7.1421394539662 7.33431516562419 6.54677037778645 6.59942068819107 6.83556795371083 6.27950728737213 6.71696738830287 6.81526127524013 6.92836543984244 6.86996239119865 6.82357716610146
"ACAD10" 7.15605183659341 5.30239278582294 5.51918382554325 6.06829207755846 6.20890927660334 6.45191315185923 6.56706861446768 6.68225262737226 5.98739207747331 6.549408779587 6.39778866077286 6.12865758262356 6.268439478144 5.74333228503152 6.29397513187543 6.32990740067224 6.02991032482094
"ACAD8" 6.035613167573 7.06190099706305 6.78668034550276 6.82414273407398 7.04642690855495 6.55029246062457 6.49929814924845 7.53999225519172 7.09441020867548 7.22170011984325 7.06065644211522 7.20668956911914 7.16280518130386 7.29824780372548 6.85757650214398 7.38569333800516 6.99719969563746
"ACADM" 8.28308696524692 8.43473531836477 8.29357197899646 7.57137851415722 7.56417689736301 9.55008975334875 8.37762991043597 8.60277550029783 9.12426702227215 9.03277189767157 9.27860440187146 7.72574987239379 8.94763052179222 9.42295491913815 9.1592903788081 9.30367399093031 9.15148246604738
"ACADS" 6.01935771403931 6.03890637848592 5.90211895854758 7.69702134856825 6.53813859078902 6.57734706677399 6.11712514614291 7.14654010702086 5.76017900385829 6.69314524611853 6.95781372539695 6.24074146639219 6.88193019837384 6.47686691708571 6.55773436482283 6.58236995633154 6.58109062288073
"ACADSB" 5.73104413362008 5.49239730161612 5.61169742926615 5.58186798159123 5.94000923286161 5.58186798159123 5.70120315950485 7.13645968617652 4.98162074364725 3.45755934032287 5.63231966485535 5.89627933026476 6.43079039987674 6.08396608881769 5.96258897908889 7.25237079040515 6.03772526842909
"ACADVL" 10.5868960378384 8.84550594647605 8.57052219130225 10.0673474140367 9.69171625212566 10.1664787558968 9.17627179860644 9.32007278141058 8.91888921427979 8.93874319800768 9.75638055379276 9.85176649842673 9.24709897443172 10.0750274041652 9.49286740480529 9.14421630085891 9.44302944217084
"ACAT1" 7.59985841925101 9.134619695047 8.38786315726825 7.68279172805632 8.44317197045291 8.56762095562147 8.41551741810945 8.89951077987409 9.06339742385822 8.36543584155303 9.92544177696234 8.62413283865724 9.20132369817055 9.32413002916515 8.18021897227123 9.0166673225047 8.62455047434342
"ACAT2" 8.33892638369642 8.2633608763662 8.60401062425915 7.40195029875856 7.99825170858996 8.3196811835841 7.31638396930569 7.44066606311201 7.5416250122868 7.53286624593882 8.1547946082509 8.18946824242709 8.54053405780464 7.56091176346458 7.90195155231256 8.4630231219475 8.83511883251378
"ACBD3" 8.01798490130626 8.73050307149416 9.57284902809835 7.82371258712512 7.81076200721481 8.82120477895738 8.27705123275319 7.47409082224908 8.31122635447015 8.14546167745621 8.2617430963749 9.20933196506025 8.8519133451364 9.12798099890399 8.29003246542839 8.39476659992141 9.38105148878574
"ACBD4" 6.57650284119041 6.79663442590127 6.35652694813038 6.79663442590127 6.86270271726536 6.24660077352547 6.64252644771923 6.59850916748266 6.69809784462955 5.94686372563161 6.77114768285737 6.70318079143675 6.82727579243584 6.42448970336648 6.24938818557246 6.83988791313685 6.68042929196978
"ACD" 7.68702345286457 7.59971883017397 7.96355262206864 8.60425840611811 7.00344247701847 6.88716632310211 6.98890657622789 7.80344521435688 7.56776214324419 7.14715705418936 7.26419814281492 7.54074437237313 7.86233672995963 7.23245101990213 6.72171305611121 7.34032480419741 7.8696401848418
"ACE2" 4.89963251062622 5.9437457737687 5.12776100288215 5.87840035722851 5.51920208231803 5.29080712281785 4.57402402174759 5.12776100288215 5.71945928840771 5.97282297606618 6.07772765167267 5.92427899882145 6.3315156838703 5.15340357549438 5.62547003478447 5.25846485959962 5.62606147233453
"ACHE" 5.87053830353005 4.44398321602628 4.83192642196495 5.65752741855897 4.73688968829508 5.07176816115367 4.56671558376679 4.8131957879594 5.09727901510607 4.90187745072824 4.20930780834357 5.14622642671618 5.05017526869628 4.88338683624891 5.46580349295752 5.84730575059085 4.20666945099888
"ACIN1" 7.36685232596512 7.50065900071887 7.4471340586992 7.63448401540985 7.87541140442201 7.67463491086878 8.0628335660948 7.55418687634997 7.84195393916398 7.86389798074748 8.11297193967593 7.85062932678993 7.12909982615468 7.84350722731129 8.04702806959596 7.67525599431517 7.60898515086671
"ACLY" 9.89407046256689 9.04305007148402 8.79961553228596 8.5134578457832 8.82896326370667 8.80596101012939 8.64567096627699 7.65414919257399 9.4901641463649 9.2334712744832 9.11161346797541 9.08176374850604 8.86025184563468 9.33355830410637 8.64362202560324 9.46850820088966 9.71161119017798
"ACN9" 6.10548288969227 5.80898874067675 6.84794946830827 5.42400566225732 6.53056376534013 7.80026703060128 8.01191828682219 7.02162078317846 8.4109930715923 7.87997502379452 7.31644458709856 6.92919053440352 7.97153860726734 7.26050155119263 6.95963512099701 6.55145312232515 7.40071592082675
"ACO1" 8.75823064006594 7.578335312676 7.16679312105393 8.84731666675052 8.80277315410231 8.81390893961766 7.82312617556562 8.47986438791987 8.09614329941613 7.93541721208745 6.95249826777129 7.48788968398521 8.15255469727484 8.23002898201175 7.97855278433739 9.22349264080694 7.93066743193034
"ACO2" 7.29326386403556 8.43792595855446 8.23099353889217 8.64488136729468 7.04516728539787 7.80341716463252 6.83847061488378 8.02408662160362 7.16863951451547 7.36976384934072 8.91020781884903 7.59674090520691 7.2614300850543 6.83485148521975 7.21156623447167 6.92813325141912 6.96886278381712
"ACOT7" 8.26657105652397 7.97362209038883 7.86678766644865 8.60886442828844 9.27890930859996 8.7781301940686 7.06132158451254 7.52346970340701 8.40981305657635 8.33946435030891 8.12642621458414 8.15126174326133 8.09896131461262 8.37542407212277 8.49841216011404 8.01662074934375 8.45431632716905
"ACOT8" 5.89909816713957 7.13976267798249 6.98251192065795 7.54883162742652 6.00885829184883 7.45440514587453 6.00885829184883 6.29127134034243 6.43904902527794 7.24323491673591 6.89993895138605 6.83350325672062 6.89888883588824 7.17536259044194 6.53199366095086 7.04770648927307 6.82331429440327
"ACOT9" 7.36700114931205 7.05670887115279 7.94948800186965 8.52538991795828 7.65334542902079 9.34112957846169 6.79730985243196 7.60502918965022 8.12146808778276 7.94465678771847 7.4974474852718 7.83630770177838 8.51854503674686 8.29881158773244 8.10933230865608 8.34564006277716 7.81980897872933
"ACOX1" 6.83308097062798 7.55417351492429 8.33168095301247 6.54259713820855 7.08300493433692 6.72251413735198 6.9302794716317 7.41547206120265 7.50715043940161 7.09204810686197 7.64158757605902 7.47701766021337 7.23861564833436 7.18678091508382 7.58999584665497 7.54076814456144 7.41592723008156
"ACOX2" 7.17252839952058 5.84810691142929 5.99946847360422 6.57411296269546 7.08538173323957 6.98738057851767 6.3352985094928 5.98865021245533 5.9122169631676 5.87842318350591 4.38604677591126 7.19644768877212 7.09485676344877 6.05502137488862 6.44950297569422 7.73969133486018 5.17901378151084
"ACOX3" 6.91971029353266 6.57707676284671 6.09783167369028 7.94877678269615 7.04311320460773 6.85116509126152 7.13911149882103 7.52324920057957 6.73551423031463 6.73677718858857 6.80149563192169 6.71477408850969 6.78884599458738 6.70572848692201 6.73957664325324 6.72813738104113 6.72284771661567
"ACP1" 7.86886796754178 9.47772002343248 9.65493141728936 8.18809720824523 7.83042083423569 9.72172410962807 7.91917683950271 9.10644831742186 8.64625039875122 8.8640426043635 9.40457940677708 9.12687673252528 9.18350647824657 8.99536188769005 8.86127623890764 8.79930328471042 9.14260865505028
"ACP2" 9.35735661825816 7.78086362088251 8.20469250225445 8.1068697026413 8.9657950138151 8.90054250352381 7.90038587304638 7.954719428086 8.06454185139728 7.77694171161671 7.77717341047912 7.86858095905914 7.4794731567179 7.5748077575541 8.97427270428776 7.92743337764139 8.00345455801638
"ACP5" 7.2573896022475 6.04392188899249 6.3029378003535 8.11957338844842 9.22147529773138 7.12242617651422 7.84941373687156 10.0014170639322 7.67526864690478 8.31610250537337 8.50540072203523 9.33187632853528 7.73239064092422 8.35441291296793 9.3883604023056 6.29349046518897 9.81306238496086
"ACP6" 8.39330880055608 6.67136336868816 6.88718149171928 7.84251308561393 6.91417436595846 8.23975610710821 7.21129574374637 7.02217757803559 7.77520269652318 7.50896154187552 7.73109614052168 8.40152282308067 7.49306035661323 8.55236775754216 8.31371790181697 7.03252692982802 7.2852086120107
"ACPP" 5.32840634050098 5.18005762500474 4.96602293198476 5.46038156126896 6.81793250412699 5.14710975890402 5.11416882378806 5.26245700918115 5.52508127524364 5.20623302118928 5.3648767167391 5.70916215825289 5.16958958259295 6.31557220674857 6.24836562974222 5.86945666486483 5.30855640781842
"ACRV1" 5.27409961726761 5.13840418381185 5.2977247542304 5.28922060147139 5.63986945909665 5.26812338257427 5.35182515423739 5.68805901535884 5.76803610540886 5.89365003782345 5.31641000993702 5.68793041491444 6.00251066229234 5.86784027285887 5.76842908546804 5.74652264136323 5.44907027081659
"ACSBG1" 4.62239724335388 4.37839315557778 4.67757946452017 4.63027864676161 6.85868443612191 6.26225792863322 7.14516123198771 4.62239724335388 5.71806337324523 4.94422022379335 5.87125630266513 5.08020749908104 4.61917094898896 5.1118557939253 3.47394074338734 5.36360093142488 3.4019853108788
